id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1390089104973393926,1390089104973393926,2021-05-06 05:10:43 India Standard Time,2021-05-06,05:10:43,+0530,902753400097525760,shaffi_pakeeza,𝗠𝗼𝗵𝗮𝗺𝗺𝗮𝗱 𝗦𝗵𝗮𝗳𝗶 𝗕𝗵𝗮𝘁,,"Admin are allowing some activities during Corona Curfew from morning 6-11:00am and From 3-7:00pm with a simple condition i.e Maintain Social Distance, follow even odd in operating ur activities .. your little contribution means a lot, let’s break the chain @DCBaramulla @bhatray",en,"[{'screen_name': 'dcbaramulla', 'name': 'deputy commissioner baramulla', 'id': '1367061212689616897'}, {'screen_name': 'bhatray', 'name': 'rayees mohammad bhat', 'id': '63418566'}]",[],[],3,1,4,[],[],https://twitter.com/Shaffi_Pakeeza/status/1390089104973393926,False,https://twitter.com/Shaffi_Pakeeza/status/1390087677613993986,0,,India,,,,,,[],,,,
1390054892996231168,1390054891406598146,2021-05-06 02:54:47 India Standard Time,2021-05-06,02:54:47,+0530,747225593989697536,goshimsuperb,Debsieeeee 🐷,,The same scenario could be seen in Maldives where i work now. Sad to see that the gov has now re-implementing another curfew which could have been avoided in the first place. Long queues for vaccination? No improvement since first launched.,en,[],[],[],0,0,3,[],[],https://twitter.com/goshimsuperb/status/1390054892996231168,False,,0,,India,,,,,,[],,,,
1390034988876419072,1390034988876419072,2021-05-06 01:35:41 India Standard Time,2021-05-06,01:35:41,+0530,1278900675796021248,iqbaalahmed20,Iqbaal Ahmed 🇲🇻🇦🇪🇮🇳🇵🇰🇧🇩,,#Maldives imposes 21:00-04:00 curfew in capital  #StaySafe #SocialDistancing #WashYourHands  #StayHome,en,[],[],[],0,0,0,"['maldives', 'staysafe', 'socialdistancing', 'washyourhands', 'stayhome']",[],https://twitter.com/IqbaalAhmed20/status/1390034988876419072,False,https://twitter.com/AmnaShath/status/1390032730247745538,0,,India,,,,,,[],,,,
1390034429167300609,1390034429167300609,2021-05-06 01:33:28 India Standard Time,2021-05-06,01:33:28,+0530,49147117,haam76,H@@M,,Maldives imposes 21:00-04:00 curfew in capital Male City,en,[],[],[],0,0,0,[],[],https://twitter.com/haam76/status/1390034429167300609,False,,0,,India,,,,,,[],,,,
1390034261663621122,1390034261663621122,2021-05-06 01:32:48 India Standard Time,2021-05-06,01:32:48,+0530,448021960,raezugarr,Raya,,HPA imposing curfew be like.  https://t.co/v1RYHIZVKH,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/E0pkychVUAANAfy.jpg'],1,0,2,[],[],https://twitter.com/RaeZugarr/status/1390034261663621122,False,https://twitter.com/HPA_MV/status/1390029452541775873,1,https://pbs.twimg.com/tweet_video_thumb/E0pkychVUAANAfy.jpg,India,,,,,,[],,,,
1390033700558032898,1390033700558032898,2021-05-06 01:30:34 India Standard Time,2021-05-06,01:30:34,+0530,1196143240623247360,mdplive123,MDP LIVE 🇲🇻 💛🇦🇪,,#Maldives imposes 21:00-04:00 curfew in capital  #StaySafe #SocialDistancing #WashYourHands,en,[],[],[],0,0,0,"['maldives', 'staysafe', 'socialdistancing', 'washyourhands']",[],https://twitter.com/MDPLIVE123/status/1390033700558032898,False,,0,,India,,,,,,[],,,,
1390032722681233409,1390032722681233409,2021-05-06 01:26:41 India Standard Time,2021-05-06,01:26:41,+0530,542300391,naailnasheed,Naail Nasheed,,"#BREAKING: @HPA_MV has announced a night-time curfew, starting 6th May 2021 in Male’ City from 21:00 to 04:00. Driving and walking on the road is prohibited during these hours. Police will issue permits for essential uses and deliveries. #COVID19 #Maldives",en,"[{'screen_name': 'hpa_mv', 'name': 'health protection agency', 'id': '514423446'}]",[],[],0,2,2,"['breaking', 'covid19', 'maldives']",[],https://twitter.com/NaailNasheed/status/1390032722681233409,False,,0,,India,,,,,,[],,,,
1390030731699646477,1390030731699646477,2021-05-06 01:18:46 India Standard Time,2021-05-06,01:18:46,+0530,800926805033123840,shahhifxan333,The Witcher⚔,,Kyun chala raha ho night curfew jo hai!🙄😌,tl,[],[],[],0,0,0,[],[],https://twitter.com/Shahhifxan333/status/1390030731699646477,False,https://twitter.com/SMC_Srinagar/status/1389991489120333827,0,,India,,,,,,[],,,,
1390014292980871174,1390009812004528133,2021-05-06 00:13:27 India Standard Time,2021-05-06,00:13:27,+0530,3751392742,gnampamya,NAMPAMYA GIDEON,,@nilepostnews So sad indeed. How does curfew stop spread of covid 19,en,[],[],[],0,0,0,[],[],https://twitter.com/GNampamya/status/1390014292980871174,False,,0,,India,,,,,,"[{'screen_name': 'nilepostnews', 'name': 'Nile Post', 'id': '899936409074761728'}]",,,,
1390007925276438528,1390007925276438528,2021-05-05 23:48:09 India Standard Time,2021-05-05,23:48:09,+0530,1359955754631876608,nyein99,Nyein,,"In Monywa, Tharsi Road, the military terrorists were torturing civilians by forcing them to jump like frogs for violating the curfew. #WhatsHappeningInMyanmar  #May5Coup",en,[],[],[],0,1,0,"['whatshappeninginmyanmar', 'may5coup']",[],https://twitter.com/Nyein99/status/1390007925276438528,False,,0,,India,,,,,,[],,,,
1390007004207280130,1390007004207280130,2021-05-05 23:44:29 India Standard Time,2021-05-05,23:44:29,+0530,1359955754631876608,nyein99,Nyein,,The first order of not to gather more than 5 people enacted along with the Curfew of 10-4 am in Dagon Myothit &amp; the roads near ward offices were blocked as well. Previous curfew was from 8-4 am. #May5Coup #CivilDisobedienceMovement #WhatsHappeningInMyanmar,en,[],[],[],0,0,0,"['may5coup', 'civildisobediencemovement', 'whatshappeninginmyanmar']",[],https://twitter.com/Nyein99/status/1390007004207280130,False,,0,,India,,,,,,[],,,,
1389990264953921539,1389987154743361536,2021-05-05 22:37:58 India Standard Time,2021-05-05,22:37:58,+0530,135154535,vinod294,Vinod Kumar,,@lalit_12 Called Corona Curfew only  Sir,en,[],[],[],0,0,0,[],[],https://twitter.com/VINOD294/status/1389990264953921539,False,,0,,India,,,,,,"[{'screen_name': 'lalit_12', 'name': 'Lalit Sharma', 'id': '75570680'}]",,,,
1389987494989467648,1389255934485045248,2021-05-05 22:26:58 India Standard Time,2021-05-05,22:26:58,+0530,1541309496,ismailnihad,Imma,,@HPA_MV Thank you...sadly our own government is taking it so lightly. Since the current is situation is so bad there is no point of having  curfew from 1200am till 04am. Instead need to advance the curfew from 2200pm till 04am,en,[],[],[],0,0,0,[],[],https://twitter.com/Ismailnihad/status/1389987494989467648,False,,0,,India,,,,,,"[{'screen_name': 'HPA_MV', 'name': 'Health Protection Agency', 'id': '514423446'}]",,,,
